Filter,ITK,SITK,Remark,ToDo
AbsImageFilter,True,True,,False
AbsoluteValueDifferenceImageFilter,True,True,,False
AccumulateImageFilter,True,False,,False
AcosImageFilter,True,True,,False
AdaptiveHistogramEqualizationImageFilter,True,False,,False
AddConstantToImageFilter,False,True,,False
AddImageFilter,True,True,,False
AndImageFilter,True,True,,False
AnisotropicDiffusionImageFilter,True,False,,False
AnisotropicFourthOrderLevelSetImageFilter,True,False,,False
AntiAliasBinaryImageFilter,True,False,,False
ApproximateSignedDistanceMapImageFilter,True,True,,False
AreaClosingImageFilter,True,False,,False
AreaOpeningImageFilter,True,False,,False
AsinImageFilter,True,True,,False
Atan2ImageFilter,True,True,,False
AtanImageFilter,True,True,,False
BSplineDecompositionImageFilter,True,False,,False
BSplineDownsampleImageFilter,True,False,,False
BSplineUpsampleImageFilter,True,False,,False
BayesianClassifierImageFilter,True,False,,False
BayesianClassifierInitializationImageFilter,True,False,,False
BilateralImageFilter,True,True,,False
BinaryClosingByReconstructionImageFilter,True,True,,False
BinaryContourImageFilter,True,True,,False
BinaryDilateImageFilter,True,True,,False
BinaryErodeImageFilter,True,True,,False
BinaryFillholeImageFilter,True,True,,False
BinaryGrindPeakImageFilter,True,True,,False
BinaryMagnitudeImageFilter,True,True,,False
BinaryMedianImageFilter,True,True,,False
BinaryMinMaxCurvatureFlowImageFilter,True,True,,False
BinaryMorphologicalClosingImageFilter,True,True,,False
BinaryMorphologicalOpeningImageFilter,True,True,,False
BinaryNotImageFilter,True,False,,False
BinaryOpeningByReconstructionImageFilter,True,True,,False
BinaryProjectionImageFilter,True,True,,False
BinaryPruningImageFilter,True,False,,False
BinaryReconstructionByDilationImageFilter,True,True,,False
BinaryReconstructionByErosionImageFilter,True,True,,False
BinaryShapeKeepNObjectsImageFilter,True,False,,False
BinaryShapeOpeningImageFilter,True,False,,False
BinaryStatisticsKeepNObjectsImageFilter,True,False,,False
BinaryStatisticsOpeningImageFilter,True,False,,False
BinaryThinningImageFilter,True,True,,False
BinaryThresholdImageFilter,True,True,,False
BinaryThresholdProjectionImageFilter,True,False,,False
BinomialBlurImageFilter,True,True,,False
BlackTopHatImageFilter,True,True,,False
BoundedReciprocalImageFilter,True,True,,False
BoxImageFilter,True,False,,False
BoxMeanImageFilter,True,True,,False
BoxSigmaImageFilter,True,True,,False
CannyEdgeDetectionImageFilter,True,True,,False
CannySegmentationLevelSetImageFilter,True,False,,False
CastImageFilter,True,True,,False
ChangeInformationImageFilter,True,False,,False
ChangeLabelImageFilter,True,False,,False
CheckerBoardImageFilter,True,True,,False
ClampImageFilter,True,False,,False
ClosingByReconstructionImageFilter,True,True,,False
CollidingFrontsImageFilter,True,False,,False
ComparisonImageFilter,True,False,,False
ComplexToImaginaryImageFilter,True,True,,False
ComplexToModulusImageFilter,True,True,,False
ComplexToPhaseImageFilter,True,True,,False
ComplexToRealImageFilter,True,True,,False
ComposeImageFilter,True,False,,False
ConfidenceConnectedImageFilter,True,True,,False
ConnectedComponentImageFilter,True,True,,False
ConnectedThresholdImageFilter,True,True,,False
ConstantPadImageFilter,True,True,,False
ConstrainedValueAdditionImageFilter,True,False,,False
ConstrainedValueDifferenceImageFilter,True,False,,False
ContourDirectedMeanDistanceImageFilter,True,False,,False
ContourExtractor2DImageFilter,True,False,,False
ContourMeanDistanceImageFilter,True,False,,False
ConvolutionImageFilter,True,True,,False
CosImageFilter,True,True,,False
